head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,11,0,2,20,60683
0,3,0,2,20,60690
0,0,0,2,20,60699
0,3,0,2,20,60717
0,3,0,2,20,60733
0,3,0,2,20,60752
0,6,0,2,20,60769
0,0,0,2,20,60783
0,6,0,2,20,60802
0,3,0,2,20,60819
0,3,0,2,20,60834
0,3,0,2,20,60855
0,3,0,2,20,60867
0,3,0,2,20,60884
0,2,0,2,20,60899
0,3,0,2,20,60918
0,3,0,2,20,60933
0,3,0,2,20,60950
0,2,0,2,20,60967
0,3,0,2,20,60983
0,3,0,2,20,61000
0,3,0,2,20,61016
0,3,0,2,20,61033
0,3,0,2,20,61051
0,3,0,2,20,61067
0,3,0,2,20,61083
0,3,0,2,20,61100
0,3,0,2,20,61116
0,3,0,2,20,61134
0,2,0,2,20,61149
0,3,0,2,20,61167
0,7,0,2,20,61184
0,3,0,2,20,61200
0,3,0,2,20,61217
0,3,0,2,20,61233
0,2,0,2,20,61250
0,3,0,2,20,61267
0,3,0,2,20,61283
0,3,0,2,20,61299
0,3,0,2,20,61317
0,3,0,2,20,61333
0,3,0,2,20,61349
0,3,0,2,20,61370
0,3,0,2,20,61383
0,3,0,2,20,61403
0,3,0,2,20,61418
0,3,0,2,20,61433
0,3,0,2,20,61450
0,2,0,2,20,61466
0,2,0,2,20,61483
0,4,0,2,20,61501
0,3,0,2,20,61517
0,2,0,2,20,61533
0,6,0,2,20,61551
0,3,0,2,20,61566
0,3,0,2,20,61584
0,0,0,2,20,61600
0,6,0,2,20,61616
0,3,0,2,20,61633
0,3,0,2,20,61650
0,3,0,2,20,61666
0,3,0,2,20,61683
0,3,0,2,20,61699
0,3,0,2,20,61716
0,3,0,2,20,61735
0,3,0,2,20,61749
0,3,0,2,20,61767
0,2,0,2,20,61783
0,1,0,2,20,61799
0,3,0,2,20,61816
0,5,0,2,20,61833
0,6,0,2,20,61849
0,7,0,2,20,61866
0,7,0,2,20,61883
0,0,0,2,20,61899
0,0,0,2,20,61916
0,0,0,2,20,61932
0,0,0,2,20,61949
0,0,0,2,20,61966
0,-5,0,2,20,61983
0,-8,0,2,20,61999
0,-10,0,2,20,62016
0,-12,0,2,20,62033
0,0,0,2,20,62049
0,-27,0,2,20,62066
0,-14,0,2,20,62083
0,-14,0,2,20,62099
0,0,0,2,20,62116
0,-3,0,2,20,62133
0,-3,0,2,20,62149
0,-2,0,2,20,62166
0,-3,0,2,20,62183
0,-3,0,2,20,62199
0,-23,0,2,20,62216
0,-23,0,2,20,62233
0,-3,0,2,20,62249
0,-3,0,2,20,62267
0,-3,0,2,20,62283
0,-3,0,2,20,62299
0,-3,0,2,20,62316
0,-2,0,2,20,62333
0,-2,0,2,20,62349
0,-5,0,2,20,62366
0,-6,0,2,20,62383
0,0,0,2,20,62399
0,-6,0,2,20,62416
0,-2,0,2,20,62433
0,-2,0,2,20,62450
0,0,0,2,20,62466
0,-3,0,2,20,62483
0,-4,0,2,20,62499
0,-5,0,2,20,62517
0,0,0,2,20,62532
0,-13,0,2,20,62555
0,-8,0,2,20,62566
0,-3,0,2,20,62583
0,-3,0,2,20,62600
0,-3,0,2,20,62616
0,-2,0,2,20,62633
0,-3,0,2,20,62650
0,-2,0,2,20,62666
0,0,0,2,20,62682
0,-2,0,2,20,62700
0,-2,0,2,20,62717
0,-4,0,2,20,62733
0,-4,0,2,20,62749
0,-3,0,2,20,62766
0,-2,0,2,20,62783
0,-6,0,2,20,62800
0,0,0,2,20,62816
0,0,0,2,20,62833
0,0,0,2,20,62851
0,0,0,2,20,62866
0,0,0,2,20,62884
0,0,0,2,20,62899
0,0,0,2,20,62916
0,0,0,2,20,62933
0,0,0,2,20,62949
0,1,0,2,20,62966
0,3,0,2,20,62983
0,4,0,2,20,62999
0,0,0,2,20,63016
0,1,0,2,20,63033
0,0,0,2,20,63049
0,0,0,2,20,63067
0,0,0,2,20,63082
0,0,0,2,20,63099
0,0,0,2,20,63116
0,0,0,2,20,63133
0,0,0,2,20,63149
0,2,0,2,20,63166
0,4,0,2,20,63184
0,12,0,2,20,63200
0,6,0,2,20,63217
0,6,0,2,20,63234
