head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,0,0,1,20,14
0,80,0,1,20,621
0,0,0,1,20,627
0,3,0,1,20,636
0,3,0,1,20,653
0,3,0,1,20,671
0,3,0,1,20,687
0,3,0,1,20,704
0,2,0,1,20,720
0,3,0,1,20,736
0,3,0,1,20,753
0,3,0,1,20,771
0,0,0,1,20,786
0,5,0,1,20,804
0,3,0,1,20,821
0,3,0,1,20,837
0,4,0,1,20,853
0,5,0,1,20,870
0,0,0,1,20,886
0,0,0,1,20,903
0,13,0,1,20,920
0,2,0,1,20,937
0,3,0,1,20,954
0,3,0,1,20,970
0,2,0,1,20,987
0,3,0,1,20,1003
0,-1,0,1,20,1020
0,1,0,1,20,1037
0,0,0,1,20,1053
0,0,0,1,20,1070
0,0,0,1,20,1086
0,0,0,1,20,1103
0,0,0,1,20,1120
0,0,0,1,20,1136
0,0,0,1,20,1153
0,0,0,1,20,1170
0,0,0,1,20,1186
0,0,0,1,20,1203
0,0,0,1,20,1220
0,0,0,1,20,1236
0,0,0,1,20,1253
0,0,0,1,20,1270
0,0,0,1,20,1286
0,0,0,1,20,1303
0,0,0,1,20,1320
0,0,0,1,20,1336
0,0,0,1,20,1353
0,0,0,1,20,1370
0,0,0,1,20,1386
0,0,0,1,20,1403
0,0,0,1,20,1420
0,0,0,1,20,1437
0,0,0,1,20,1453
0,0,0,1,20,1470
0,0,0,1,20,1486
0,0,0,1,20,1503
0,0,0,1,20,1520
0,0,0,1,20,1536
0,0,0,1,20,1553
0,0,0,1,20,1570
0,0,0,1,20,1586
0,0,0,1,20,1603
0,0,0,1,20,1633
0,0,0,1,20,1638
0,0,0,1,20,1653
0,0,0,1,20,1670
0,0,0,1,20,1687
0,0,0,1,20,1703
0,0,0,1,20,1720
0,0,0,1,20,1736
0,0,0,1,20,1753
0,0,0,1,20,1771
0,0,0,1,20,1786
0,0,0,1,20,1803
0,0,0,1,20,1820
0,0,0,1,20,1836
0,0,0,1,20,1853
0,0,0,1,20,1870
0,0,0,1,20,1886
0,0,0,1,20,1903
0,0,0,1,20,1920
0,0,0,1,20,1936
0,0,0,1,20,1953
0,0,0,1,20,1970
0,0,0,1,20,1986
0,0,0,1,20,2003
0,0,0,1,20,2020
0,0,0,1,20,2036
0,0,0,1,20,2053
0,0,0,1,20,2070
0,0,0,1,20,2086
0,0,0,1,20,2103
0,0,0,1,20,2120
0,0,0,1,20,2136
0,0,0,1,20,2153
0,0,0,1,20,2169
0,0,0,1,20,2186
0,0,0,1,20,2204
0,0,0,1,20,2221
0,0,0,1,20,2236
0,0,0,1,20,2253
0,0,0,1,20,2270
0,0,0,1,20,2286
0,0,0,1,20,2303
0,0,0,1,20,2319
0,0,0,1,20,2336
0,0,0,1,20,2353
0,0,0,1,20,2370
0,0,0,1,20,2387
0,0,0,1,20,2403
0,0,0,1,20,2420
0,0,0,1,20,2436
0,0,0,1,20,2453
0,0,0,1,20,2470
0,0,0,1,20,2486
0,0,0,1,20,2503
0,0,0,1,20,2520
0,0,0,1,20,2536
0,0,0,1,20,2553
0,0,0,1,20,2570
0,0,0,1,20,2586
0,0,0,1,20,2603
0,0,0,1,20,2633
0,0,0,1,20,2638
0,0,0,1,20,2653
0,0,0,1,20,2670
0,0,0,1,20,2687
0,0,0,1,20,2703
0,0,0,1,20,2720
0,0,0,1,20,2737
0,0,0,1,20,2753
0,0,0,1,20,2770
0,0,0,1,20,2786
0,0,0,1,20,2803
0,0,0,1,20,2820
0,0,0,1,20,2836
0,0,0,1,20,2853
0,0,0,1,20,2870
0,0,0,1,20,2886
0,0,0,1,20,2903
0,0,0,1,20,2920
0,0,0,1,20,2936
0,0,0,1,20,2953
0,0,0,1,20,2969
0,0,0,1,20,2986
