head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,reward_x,reward_z,lick_in,ms_now
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,2
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,38
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,44
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,59
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,77
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,93
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,109
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,127
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,143
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,159
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,176
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,193
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,210
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,227
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,243
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,260
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,276
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,294
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,310
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,327
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,344
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,360
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,377
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,394
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,410
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,426
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,444
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,460
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,477
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,494
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,510
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,526
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,543
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,560
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,576
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,593
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,610
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,626
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,642
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,659
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,677
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,693
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,710
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,726
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,743
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,760
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,776
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,794
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,810
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,826
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,843
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,859
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,876
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,893
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,910
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,927
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,944
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,960
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,976
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,993
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1010
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1026
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1044
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1061
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1077
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1094
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1110
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1126
0,0,0,0.324798,0.66,219.537778,0,-0.03275,-0.297673,0,1144
23,-12,0,0.329061,0.655779,225.287778,0,-0.03275,-0.297673,0,1160
28,-14,0,0.334599,0.651497,232.287778,0,-0.03275,-0.297673,0,1176
43,-24,0,0.345295,0.646056,243.037778,0,-0.03275,-0.297673,0,1193
29,-13,0,0.351414,0.643864,250.287778,0,-0.03275,-0.297673,0,1210
26,-10,0,0.356282,0.642721,256.787778,0,-0.03275,-0.297673,0,1227
38,-13,0,0.362768,0.6423,266.287778,0,-0.03275,-0.297673,0,1244
25,-9,0,0.367263,0.642499,272.537778,0,-0.03275,-0.297673,0,1260
37,-13,0,0.373626,0.643827,281.787778,0,-0.03275,-0.297673,0,1277
26,-8,0,0.377424,0.645082,288.287778,0,-0.03275,-0.297673,0,1293
23,-8,0,0.381077,0.646712,294.037778,0,-0.03275,-0.297673,0,1310
34,-11,0,0.385714,0.64967,302.537778,0,-0.03275,-0.297673,0,1327
22,-8,0,0.388865,0.652135,308.037778,0,-0.03275,-0.297673,0,1344
37,-13,0,0.393274,0.656911,317.287778,0,-0.03275,-0.297673,0,1360
27,-8,0,0.395623,0.66,324.037778,0,-0.03275,-0.297673,0,1376
24,-6,0,0.397121,0.66,330.037778,0,-0.03275,-0.297673,0,1394
33,-12,0,0.399341,0.66,338.287778,0,-0.03275,-0.297673,0,1410
21,-6,0,0.400191,0.66,343.537778,0,-0.03275,-0.297673,0,1427
30,-12,0,0.401125,0.66,351.037778,0,-0.03275,-0.297673,0,1444
16,-9,0,0.401515,0.66,355.037778,0,-0.03275,-0.297673,0,1460
15,-9,0,0.40161,0.66,358.787778,0,-0.03275,-0.297673,0,1477
11,-12,0,0.401449,0.66,361.537778,0,-0.03275,-0.297673,0,1494
3,-7,0,0.401309,0.66,362.287778,0,-0.03275,-0.297673,0,1510
0,-3,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1527
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1543
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1560
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1576
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1594
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1610
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1627
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1644
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1660
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1677
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1693
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1710
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1727
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1743
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1760
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1777
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1793
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1810
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1826
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1844
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1860
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1876
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1894
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1910
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1926
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1943
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1960
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1976
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,1994
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,2009
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,2026
0,0,0,0.401249,0.66,362.287778,0,-0.03275,-0.297673,0,2044
4,-2,0,0.401192,0.66,363.287778,0,-0.03275,-0.297673,0,2060
7,-2,0,0.401104,0.66,365.037778,0,-0.03275,-0.297673,0,2078
10,-3,0,0.400907,0.66,367.537778,0,-0.03275,-0.297673,0,2094
5,-3,0,0.400678,0.66,368.787778,0,-0.03275,-0.297673,0,2111
7,-2,0,0.400495,0.66,370.537778,0,-0.03275,-0.297673,0,2127
4,-1,0,0.400395,0.66,371.537778,0,-0.03275,-0.297673,0,2143
4,-1,0,0.400287,0.66,372.537778,0,-0.03275,-0.297673,0,2160
3,0,0,0.400287,0.66,373.287778,0,-0.03275,-0.297673,0,2177
2,0,0,0.400287,0.66,373.787778,0,-0.03275,-0.297673,0,2193
5,0,0,0.400287,0.66,375.037778,0,-0.03275,-0.297673,0,2211
2,0,0,0.400287,0.66,375.537778,0,-0.03275,-0.297673,0,2227
2,0,0,0.400287,0.66,376.037778,0,-0.03275,-0.297673,0,2244
3,0,0,0.400287,0.66,376.787778,0,-0.03275,-0.297673,0,2260
3,0,0,0.400287,0.66,377.537778,0,-0.03275,-0.297673,0,2276
3,-1,0,0.40013,0.66,378.287778,0,-0.03275,-0.297673,0,2294
2,0,0,0.40013,0.66,378.787778,0,-0.03275,-0.297673,0,2310
5,-1,0,0.399959,0.66,380.037778,0,-0.03275,-0.297673,0,2326
3,-1,0,0.399781,0.66,380.787778,0,-0.03275,-0.297673,0,2343
1,-1,0,0.399602,0.66,381.037778,0,-0.03275,-0.297673,0,2360
0,0,0,0.399602,0.66,381.037778,0,-0.03275,-0.297673,0,2377
0,0,0,0.399602,0.66,381.037778,0,-0.03275,-0.297673,0,2393
0,0,0,0.399602,0.66,381.037778,0,-0.03275,-0.297673,0,2409
0,0,0,0.399602,0.66,381.037778,0,-0.03275,-0.297673,0,2426
1,0,0,0.399602,0.66,381.287778,0,-0.03275,-0.297673,0,2443
1,-1,0,0.399418,0.66,381.537778,0,-0.03275,-0.297673,0,2460
2,-3,0,0.398855,0.66,382.037778,0,-0.03275,-0.297673,0,2476
3,-2,0,0.398468,0.66,382.787778,0,-0.03275,-0.297673,0,2494
5,-7,0,0.397042,0.66,384.037778,0,-0.03275,-0.297673,0,2511
5,-4,0,0.396188,0.66,385.287778,0,-0.03275,-0.297673,0,2528
5,-4,0,0.395294,0.66,386.537778,0,-0.03275,-0.297673,0,2545
7,-6,0,0.393873,0.66,388.287778,0,-0.03275,-0.297673,0,2561
5,-4,0,0.392887,0.66,389.537778,0,-0.03275,-0.297673,0,2576
6,-5,0,0.391598,0.66,391.037778,0,-0.03275,-0.297673,0,2594
11,-9,0,0.389095,0.66,393.787778,0,-0.03275,-0.297673,0,2611
7,-4,0,0.387933,0.66,395.537778,0,-0.03275,-0.297673,0,2628
12,-7,0,0.385752,0.66,398.537778,0,-0.03275,-0.297673,0,2645
7,-4,0,0.384459,0.66,400.287778,0,-0.03275,-0.297673,0,2660
7,-4,0,0.38312,0.66,402.037778,0,-0.03275,-0.297673,0,2677
10,-3,0,0.382067,0.66,404.537778,0,-0.03275,-0.297673,0,2694
6,-2,0,0.381348,0.66,406.037778,0,-0.03275,-0.297673,0,2710
5,-1,0,0.38098,0.66,407.287778,0,-0.03275,-0.297673,0,2728
4,-1,0,0.380607,0.66,408.287778,0,-0.03275,-0.297673,0,2744
4,-3,0,0.37947,0.66,409.287778,0,-0.03275,-0.297673,0,2760
8,-2,0,0.37869,0.66,411.287778,0,-0.03275,-0.297673,0,2777
6,-2,0,0.377893,0.66,412.787778,0,-0.03275,-0.297673,0,2794
10,-2,0,0.377071,0.66,415.287778,0,-0.03275,-0.297673,0,2812
5,-2,0,0.376237,0.66,416.537778,0,-0.03275,-0.297673,0,2827
6,-4,0,0.37454,0.66,418.037778,0,-0.03275,-0.297673,0,2844
12,-5,0,0.372353,0.66,421.037778,0,-0.03275,-0.297673,0,2860
8,-5,0,0.370125,0.66,423.037778,0,-0.03275,-0.297673,0,2876
10,-4,0,0.368304,0.66,425.537778,0,-0.03275,-0.297673,0,2894
16,-7,0,0.365025,0.66,429.537778,0,-0.03275,-0.297673,0,2910
11,-4,0,0.36312,0.66,432.287778,0,-0.03275,-0.297673,0,2927
18,-7,0,0.359712,0.66,436.787778,0,-0.03275,-0.297673,0,2944
14,-4,0,0.357741,0.66,440.287778,0,-0.03275,-0.297673,0,2960
13,-5,0,0.355257,0.66,443.537778,0,-0.03275,-0.297673,0,2977
21,-7,0,0.351758,0.66,448.787778,0,-0.03275,-0.297673,0,2994
14,-4,0,0.349759,0.65992,452.287778,0,-0.03275,-0.297673,0,3010
20,-9,0,0.345296,0.659349,457.287778,0,-0.03275,-0.297673,0,3027
11,-4,0,0.343326,0.659001,460.037778,0,-0.03275,-0.297673,0,3043
9,-4,0,0.341372,0.658575,462.287778,0,-0.03275,-0.297673,0,3060
15,-4,0,0.33945,0.658023,466.037778,0,-0.03275,-0.297673,0,3077
10,-3,0,0.338028,0.657546,468.537778,0,-0.03275,-0.297673,0,3093
11,-4,0,0.336164,0.65682,471.287778,0,-0.03275,-0.297673,0,3110
6,-2,0,0.335242,0.656432,472.787778,0,-0.03275,-0.297673,0,3129
7,-1,0,0.334788,0.656225,474.537778,0,-0.03275,-0.297673,0,3144
8,-2,0,0.333893,0.655778,476.537778,0,-0.03275,-0.297673,0,3161
4,-1,0,0.33345,0.655547,477.537778,0,-0.03275,-0.297673,0,3177
4,-2,0,0.332571,0.655069,478.537778,0,-0.03275,-0.297673,0,3194
3,-1,0,0.332135,0.654824,479.287778,0,-0.03275,-0.297673,0,3210
2,-1,0,0.331701,0.654576,479.787778,0,-0.03275,-0.297673,0,3226
1,0,0,0.331701,0.654576,480.037778,0,-0.03275,-0.297673,0,3243
0,0,0,0.331701,0.654576,480.037778,0,-0.03275,-0.297673,0,3259
0,0,0,0.331701,0.654576,480.037778,0,-0.03275,-0.297673,0,3276
0,0,0,0.331701,0.654576,480.037778,0,-0.03275,-0.297673,0,3292
0,0,0,0.331701,0.654576,480.037778,0,-0.03275,-0.297673,0,3309
0,0,0,0.331701,0.654576,480.037778,0,-0.03275,-0.297673,0,3326
0,0,0,0.331701,0.654576,480.037778,0,-0.03275,-0.297673,0,3343
-2,-1,0,0.331266,0.654329,479.537778,0,-0.03275,-0.297673,0,3361
-14,-3,0,0.329918,0.653671,476.037778,0,-0.03275,-0.297673,0,3378
-14,0,0,0.329918,0.653671,472.537778,0,-0.03275,-0.297673,0,3395
-21,1,0,0.330396,0.65382,467.287778,0,-0.03275,-0.297673,0,3413
-13,2,0,0.331366,0.654062,464.037778,0,-0.03275,-0.297673,0,3427
-16,2,0,0.33235,0.654236,460.037778,0,-0.03275,-0.297673,0,3444
-22,1,0,0.332849,0.654276,454.537778,0,-0.03275,-0.297673,0,3461
-12,2,0,0.333849,0.654303,451.537778,0,-0.03275,-0.297673,0,3477
-11,2,0,0.334848,0.654282,448.787778,0,-0.03275,-0.297673,0,3494
-18,1,0,0.335346,0.654232,444.287778,0,-0.03275,-0.297673,0,3511
-11,1,0,0.33584,0.654158,441.537778,0,-0.03275,-0.297673,0,3527
-18,1,0,0.336328,0.654046,437.037778,0,-0.03275,-0.297673,0,3545
-15,1,0,0.336807,0.653902,433.287778,0,-0.03275,-0.297673,0,3561
-15,1,0,0.337275,0.653728,429.537778,0,-0.03275,-0.297673,0,3578
-20,3,0,0.338629,0.653083,424.537778,0,-0.03275,-0.297673,0,3594
-15,1,0,0.339066,0.652839,420.787778,0,-0.03275,-0.297673,0,3610
-26,3,0,0.340284,0.651963,414.287778,0,-0.03275,-0.297673,0,3627
-18,2,0,0.341047,0.651317,409.787778,0,-0.03275,-0.297673,0,3644
-16,2,0,0.341764,0.65062,405.787778,0,-0.03275,-0.297673,0,3661
-26,7,0,0.34398,0.647911,399.287778,0,-0.03275,-0.297673,0,3677
-16,5,0,0.345425,0.645871,395.287778,0,-0.03275,-0.297673,0,3694
-25,7,0,0.347123,0.642811,389.037778,0,-0.03275,-0.297673,0,3712
-16,7,0,0.348605,0.639639,385.037778,0,-0.03275,-0.297673,0,3727
-16,4,0,0.349323,0.637773,381.037778,0,-0.03275,-0.297673,0,3745
-23,8,0,0.350377,0.633914,375.287778,0,-0.03275,-0.297673,0,3761
-12,5,0,0.350909,0.631472,372.287778,0,-0.03275,-0.297673,0,3778
-16,5,0,0.35127,0.628998,368.287778,0,-0.03275,-0.297673,0,3796
-9,2,0,0.351375,0.628003,366.037778,0,-0.03275,-0.297673,0,3811
-7,3,0,0.351487,0.626507,364.287778,0,-0.03275,-0.297673,0,3827
-6,3,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3845
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3860
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3877
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3894
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3910
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3926
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3944
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3960
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3977
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,3994
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,4010
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,4026
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,4044
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,4059
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,4076
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,4093
0,0,0,0.35156,0.625009,362.787778,0,-0.03275,-0.297673,0,4110
