head_yaw,head_thrust,head_slip,cur_wavelength,rotation_direction,ms_now
0,0,0,0,-1,1
0,0,0,0,-1,20
0,0,0,0,-1,28
0,0,0,0,-1,42
0,0,0,0,-1,59
0,0,0,0,-1,77
0,0,0,0,-1,93
0,0,0,0,-1,109
0,0,0,0,-1,126
0,0,0,0,-1,143
0,0,0,0,-1,159
0,0,0,0,-1,175
0,0,0,0,-1,192
0,0,0,0,-1,208
0,0,0,0,-1,225
0,0,0,0,-1,242
0,0,0,0,-1,258
0,0,0,0,-1,275
0,0,0,0,-1,292
0,0,0,0,-1,308
0,0,0,0,-1,325
0,0,0,0,-1,342
0,0,0,0,-1,359
0,0,0,0,-1,375
0,0,0,0,-1,392
0,0,0,0,-1,408
0,0,0,0,-1,425
0,0,0,0,-1,442
0,0,0,0,-1,459
0,0,0,0,-1,475
0,0,0,0,-1,492
0,0,0,0,-1,509
0,0,0,0,-1,525
0,0,0,0,-1,542
0,0,0,0,-1,558
0,0,0,0,-1,575
0,0,0,0,-1,592
0,0,0,0,-1,608
0,0,0,0,-1,625
0,0,0,0,-1,642
0,0,0,0,-1,659
0,0,0,0,-1,675
0,0,0,0,-1,692
0,0,0,0,-1,708
0,0,0,0,-1,726
0,0,0,0,-1,742
0,0,0,0,-1,760
0,0,0,0,-1,776
0,0,0,0,-1,793
0,0,0,0,-1,809
0,0,0,0,-1,826
0,0,0,0,-1,843
0,0,0,0,-1,860
0,0,0,0,-1,876
0,0,0,0,-1,893
0,0,0,0,-1,910
0,0,0,0,-1,926
0,0,0,0,-1,943
0,0,0,0,-1,959
0,0,0,0,-1,976
0,0,0,0,-1,993
0,0,0,0,-1,1010
0,0,0,0,-1,1026
0,0,0,0,-1,1043
0,0,0,0,-1,1060
0,0,0,0,-1,1078
0,0,0,0,-1,1093
0,0,0,0,-1,1110
0,0,0,0,-1,1126
0,0,0,0,-1,1143
0,0,0,0,-1,1160
0,0,0,0,-1,1176
0,0,0,0,-1,1193
0,0,0,0,-1,1209
0,0,0,0,-1,1226
0,0,0,0,-1,1243
0,0,0,0,-1,1259
0,0,0,0,-1,1276
0,0,0,0,-1,1293
0,0,0,0,-1,1310
0,0,0,0,-1,1326
0,0,0,0,-1,1343
0,0,0,0,-1,1360
0,0,0,0,-1,1376
0,0,0,0,-1,1392
0,0,0,0,-1,1408
0,0,0,0,-1,1425
0,0,0,0,-1,1442
0,0,0,0,-1,1459
0,0,0,0,-1,1475
0,0,0,0,-1,1492
0,0,0,0,-1,1509
0,0,0,0,-1,1526
0,0,0,0,-1,1543
0,0,0,0,-1,1560
0,0,0,0,-1,1576
0,0,0,0,-1,1592
0,0,0,0,-1,1609
0,0,0,0,-1,1625
0,0,0,0,-1,1642
0,0,0,0,-1,1658
0,0,0,0,-1,1675
0,0,0,0,-1,1685
0,0,0,0,-1,1702
0,0,0,0,-1,1719
0,0,0,0,-1,1736
0,0,0,0,-1,1752
0,0,0,0,-1,1769
0,0,0,0,-1,1785
0,0,0,0,-1,1802
0,0,0,0,-1,1819
0,0,0,0,-1,1836
0,0,0,0,-1,1852
0,0,0,0,-1,1869
0,0,0,0,-1,1885
0,0,0,0,-1,1902
0,0,0,0,-1,1919
0,0,0,0,-1,1935
0,0,0,0,-1,1952
0,0,0,0,-1,1969
0,0,0,0,-1,1986
0,0,0,0,-1,2002
0,0,0,0,-1,2019
0,0,0,0,-1,2036
0,0,0,0,-1,2052
0,0,0,0,-1,2069
0,0,0,0,-1,2086
0,0,0,0,-1,2102
0,0,0,0,-1,2119
0,0,0,0,-1,2135
0,0,0,0,-1,2152
0,0,0,0,-1,2169
0,0,0,0,-1,2186
0,0,0,0,-1,2202
0,0,0,0,-1,2219
0,0,0,0,-1,2235
0,0,0,0,-1,2252
0,0,0,0,-1,2269
0,0,0,0,-1,2286
0,0,0,0,-1,2303
0,0,0,0,-1,2319
0,0,0,0,-1,2335
0,0,0,0,-1,2352
0,0,0,0,-1,2369
0,0,0,0,-1,2386
0,0,0,0,-1,2402
0,0,0,0,-1,2419
0,0,0,0,-1,2436
0,0,0,0,-1,2452
0,0,0,0,-1,2469
0,0,0,0,-1,2485
0,0,0,0,-1,2502
0,0,0,0,-1,2519
0,0,0,0,-1,2535
0,0,0,0,-1,2552
0,0,0,0,-1,2569
0,0,0,0,-1,2585
0,0,0,0,-1,2602
0,0,0,0,-1,2619
0,0,0,0,-1,2635
0,0,0,0,-1,2652
0,0,0,0,-1,2669
0,0,0,0,-1,2685
0,0,0,0,-1,2703
0,0,0,0,-1,2719
0,0,0,0,-1,2735
0,0,0,0,-1,2752
0,0,0,0,-1,2769
0,0,0,0,-1,2786
0,0,0,0,-1,2803
0,0,0,0,-1,2820
0,0,0,0,-1,2835
0,0,0,0,-1,2853
0,0,0,0,-1,2868
0,0,0,0,-1,2885
0,0,0,0,-1,2902
0,0,0,0,-1,2918
0,0,0,0,-1,2935
0,0,0,0,-1,2952
0,0,0,0,-1,2969
0,0,0,0,-1,2985
0,0,0,0,-1,3003
0,0,0,0,-1,3019
0,0,0,0,-1,3036
0,0,0,0,-1,3052
0,0,0,0,-1,3069
0,0,0,0,-1,3086
0,0,0,0,-1,3102
0,0,0,0,-1,3119
0,0,0,0,-1,3135
0,0,0,0,-1,3152
0,0,0,0,-1,3169
0,0,0,0,-1,3185
0,0,0,0,-1,3202
0,0,0,0,-1,3219
0,0,0,0,-1,3236
0,0,0,0,-1,3252
0,0,0,0,-1,3269
0,0,0,0,-1,3286
0,0,0,0,-1,3302
0,0,0,0,-1,3319
0,0,0,0,-1,3336
0,0,0,0,-1,3353
0,0,0,0,-1,3369
0,0,0,0,-1,3386
0,0,0,0,-1,3402
0,0,0,0,-1,3419
0,0,0,0,-1,3435
0,0,0,0,-1,3453
0,0,0,0,-1,3469
0,0,0,0,-1,3486
0,0,0,0,-1,3502
0,0,0,0,-1,3519
0,0,0,0,-1,3535
0,0,0,0,-1,3552
0,0,0,0,-1,3569
0,0,0,0,-1,3586
0,0,0,0,-1,3603
0,0,0,0,-1,3619
0,0,0,0,-1,3635
0,0,0,0,-1,3652
0,0,0,0,-1,3669
0,0,0,0,-1,3686
0,0,0,0,-1,3702
0,0,0,0,-1,3719
0,0,0,0,-1,3736
0,0,0,0,-1,3752
0,0,0,0,-1,3769
0,0,0,0,-1,3785
0,0,0,0,-1,3802
0,0,0,0,-1,3819
0,0,0,0,-1,3836
0,0,0,0,-1,3852
