head_yaw,head_thrust,head_slip,reward_out,lick_in,ms_now
0,0,0,0,0,1
0,0,0,0,0,34
0,0,0,0,0,54
0,0,0,0,0,73
0,0,0,0,0,88
0,0,0,0,0,105
0,0,0,0,0,121
0,0,0,0,0,139
0,0,0,0,0,155
0,0,0,0,0,171
0,0,0,0,0,188
0,0,0,0,0,204
0,0,0,0,0,221
0,0,0,0,0,237
0,0,0,0,0,254
0,0,0,0,0,271
0,0,0,0,0,287
0,0,0,0,0,304
0,0,0,0,0,321
0,0,0,0,0,338
0,0,0,0,0,354
0,0,0,0,0,371
0,0,0,0,0,388
0,0,0,0,0,405
0,0,0,0,0,421
0,0,0,0,0,438
0,0,0,0,0,454
0,0,0,0,0,473
0,0,0,0,0,488
0,0,0,0,0,504
0,0,0,0,0,521
14,-2,0,0,0,538
18,-1,0,0,0,555
15,-2,0,0,0,572
17,-1,0,0,0,589
10,0,0,0,0,605
13,2,0,0,0,625
7,0,0,0,0,642
7,1,0,0,0,655
6,1,0,0,0,673
9,1,0,0,0,689
1,1,0,0,0,704
4,1,0,0,0,721
6,1,0,0,0,739
5,0,0,0,0,755
4,1,0,0,0,772
7,0,0,0,0,789
5,0,0,0,0,805
5,1,0,0,0,821
7,0,0,0,0,840
3,0,0,0,0,856
5,1,0,0,0,871
7,1,0,0,0,888
2,0,0,0,0,905
6,1,0,0,0,925
3,1,0,0,0,938
3,2,0,0,0,955
4,0,0,0,0,971
1,1,0,0,0,989
1,0,0,0,0,1005
0,0,0,0,0,1021
-2,-1,0,0,0,1039
-6,-3,0,0,0,1054
-10,-2,0,0,0,1072
-18,-2,0,0,0,1092
-15,-2,0,0,0,1106
-15,-1,0,0,0,1121
-17,-3,0,0,0,1139
-13,-2,0,0,0,1155
-6,0,0,0,0,1172
-18,-2,0,0,0,1189
-11,0,0,0,0,1205
-14,-1,0,0,0,1222
-24,-2,0,0,0,1239
-14,0,0,0,0,1254
-12,-1,0,0,0,1272
-18,0,0,0,0,1288
-6,0,0,0,0,1307
-17,4,0,0,0,1325
-7,0,0,0,0,1338
-8,0,0,0,0,1355
-5,-1,0,0,0,1374
0,-2,0,0,0,1389
0,0,0,0,0,1405
0,0,0,0,0,1421
0,0,0,0,0,1438
0,0,0,0,0,1455
0,0,0,0,0,1473
0,0,0,0,0,1488
0,0,0,0,0,1504
0,0,0,0,0,1521
0,0,0,0,0,1538
0,0,0,0,0,1555
0,0,0,0,0,1571
0,0,0,0,0,1588
0,0,0,0,0,1605
0,0,0,0,0,1621
0,0,0,0,0,1637
0,0,0,0,0,1654
0,0,0,0,0,1671
3,10,0,0,0,1688
3,26,0,0,0,1705
4,48,0,0,0,1723
2,36,0,0,0,1741
1,18,0,0,0,1756
9,58,0,0,0,1774
9,37,0,0,0,1788
12,54,0,0,0,1808
7,32,0,0,0,1822
5,31,0,0,0,1838
6,29,0,0,0,1854
7,41,0,0,0,1871
4,21,0,0,0,1888
1,7,0,0,0,1905
7,14,0,0,0,1923
2,7,0,0,0,1939
1,2,0,0,0,1955
0,0,0,0,0,1971
0,0,0,0,0,1988
0,0,0,0,0,2004
3,-11,0,0,0,2022
1,-5,0,0,0,2038
3,-15,0,0,0,2055
4,-31,0,0,0,2072
2,-28,0,0,0,2089
0,-32,0,0,0,2105
-2,-53,0,0,0,2122
-3,-34,0,0,0,2138
-3,-48,0,0,0,2158
0,-25,0,0,0,2172
3,-21,0,0,0,2189
1,-21,0,0,0,2208
0,-23,0,0,0,2222
0,-21,0,0,0,2240
-1,-31,0,0,0,2257
1,-17,0,0,0,2276
1,-13,0,0,0,2288
1,-10,0,0,0,2306
1,-2,0,0,0,2322
0,0,0,0,0,2338
0,0,0,0,0,2354
0,0,0,0,0,2371
0,-2,0,0,0,2389
7,18,0,0,0,2405
3,30,0,0,0,2422
2,32,0,0,0,2439
-1,44,0,0,0,2456
-1,25,0,0,0,2475
-2,22,0,0,0,2493
-1,17,0,0,0,2506
-1,12,0,0,0,2523
-1,7,0,0,0,2539
-2,3,0,0,0,2556
0,0,0,0,0,2572
-1,-5,0,0,0,2588
0,-27,0,0,0,2605
0,-13,0,0,0,2621
-1,-26,0,0,0,2639
0,-32,0,0,0,2654
0,-13,0,0,0,2671
-1,-7,0,0,0,2691
0,-1,0,0,0,2706
0,0,0,0,0,2721
0,0,0,0,0,2738
0,0,0,0,0,2754
-2,1,0,0,0,2771
-1,3,0,0,0,2789
0,0,0,0,0,2805
0,0,0,0,0,2821
0,0,0,0,0,2837
0,0,0,0,0,2854
0,0,0,0,0,2870
0,0,0,0,0,2887
0,0,0,0,0,2904
0,0,0,0,0,2921
0,0,0,0,0,2938
0,0,0,0,0,2955
0,0,0,0,0,2971
0,0,0,0,0,2988
0,0,0,0,0,3005
0,0,0,0,0,3020
0,0,0,0,0,3037
0,0,0,0,0,3054
0,0,0,0,0,3071
0,0,0,0,0,3088
0,0,0,0,0,3104
0,0,0,0,0,3121
0,0,0,0,0,3138
0,0,0,0,0,3154
0,0,0,0,0,3171
0,0,0,0,0,3187
0,0,0,0,0,3204
0,0,0,0,0,3221
0,0,0,0,0,3237
0,0,0,0,0,3254
0,0,0,0,0,3271
0,0,0,0,0,3287
0,0,0,0,0,3304
0,0,0,0,0,3321
0,0,0,0,0,3339
0,0,0,0,0,3354
0,0,0,0,0,3370
0,0,0,0,0,3387
0,0,0,0,0,3404
0,0,0,0,0,3420
