head_yaw,head_thrust,head_slip,reward_out,lick_in,ms_now
0,0,0,0,0,1
0,0,0,0,0,40
0,0,0,0,0,58
0,0,0,0,0,75
0,0,0,0,0,93
0,0,0,0,0,109
0,0,0,0,0,125
0,0,0,0,0,143
0,0,0,0,0,158
0,0,0,0,0,175
0,0,0,0,0,192
0,0,0,0,0,208
0,0,0,0,0,224
0,0,0,0,0,241
0,0,0,0,0,258
0,0,0,0,0,274
0,0,0,0,0,292
0,0,0,0,0,308
0,0,0,0,0,325
0,0,0,0,0,341
0,0,0,0,0,358
0,0,0,0,0,375
0,0,0,0,0,392
0,0,0,0,0,409
0,0,0,0,0,424
0,0,0,0,0,441
0,0,0,0,0,458
0,0,0,0,0,475
0,0,0,0,0,491
0,0,0,0,0,508
0,0,0,0,0,525
0,0,0,0,0,541
0,0,0,0,0,560
0,0,0,0,0,575
0,0,0,0,0,592
0,0,0,0,0,610
0,0,0,0,0,625
0,0,0,0,0,642
0,0,0,0,0,659
0,0,0,0,0,675
0,0,0,0,0,692
0,0,0,0,0,708
0,0,0,0,0,725
0,0,0,0,0,742
0,0,0,0,0,758
0,0,0,0,0,775
0,0,0,0,0,792
0,0,0,0,0,809
0,0,0,0,0,826
0,0,0,0,0,842
0,0,0,0,0,858
0,0,0,0,0,876
0,0,0,0,0,892
0,0,0,0,0,908
0,0,0,0,0,925
0,0,0,0,0,942
0,0,0,0,0,958
0,0,0,0,0,975
0,0,0,0,0,992
0,0,0,0,0,1008
0,0,0,0,0,1025
0,0,0,0,0,1042
0,0,0,0,0,1058
0,0,0,0,0,1075
0,0,0,0,0,1092
0,0,0,0,0,1109
0,0,0,0,0,1125
0,0,0,0,0,1144
0,0,0,0,0,1159
