head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,lick_in,loom_cur_distance,ms_now
0,0,0,0.5,0,180,0,0,20,3
0,0,0,0.5,0,180,0,0,20,97
0,0,0,0.5,0,180,0,0,20,119
0,0,0,0.5,0,180,0,0,20,137
0,0,0,0.5,0,180,0,0,20,152
0,0,0,0.5,0,180,0,0,20,169
0,0,0,0.5,0,180,0,0,20,187
0,0,0,0.5,0,180,0,0,20,202
0,0,0,0.5,0,180,0,0,20,219
0,0,0,0.5,0,180,0,0,20,236
0,0,0,0.5,0,180,0,0,20,252
0,0,0,0.5,0,180,0,0,20,269
0,0,0,0.5,0,180,0,0,20,285
0,0,0,0.5,0,180,0,0,20,302
0,0,0,0.5,0,180,0,0,20,319
0,0,0,0.5,0,180,0,0,20,335
0,0,0,0.5,0,180,0,0,20,352
0,0,0,0.5,0,180,0,0,20,369
0,0,0,0.5,0,180,0,0,20,386
0,0,0,0.5,0,180,0,0,20,402
0,0,0,0.5,0,180,0,0,20,419
0,0,0,0.5,0,180,0,0,20,436
0,0,0,0.5,0,180,0,0,20,452
0,0,0,0.5,0,180,0,0,20,469
0,0,0,0.5,0,180,0,0,20,486
0,0,0,0.5,0,180,0,0,20,502
0,0,0,0.5,0,180,0,0,20,519
0,0,0,0.5,0,180,0,0,20,536
0,0,0,0.5,0,180,0,0,20,552
0,0,0,0.5,0,180,0,0,20,569
0,0,0,0.5,0,180,0,0,20,586
0,0,0,0.5,0,180,0,0,20,602
0,0,0,0.5,0,180,0,0,20,619
0,0,0,0.5,0,180,0,0,20,636
0,0,0,0.5,0,180,0,0,20,653
0,0,0,0.5,0,180,0,0,20,669
0,0,0,0.5,0,180,0,0,20,686
0,0,0,0.5,0,180,0,0,20,702
0,0,0,0.5,0,180,0,0,20,719
0,0,0,0.5,0,180,0,0,20,736
0,0,0,0.5,0,180,0,0,20,752
0,0,0,0.5,0,180,0,0,20,769
0,0,0,0.5,0,180,0,0,20,786
0,0,0,0.5,0,180,0,0,20,802
0,0,0,0.5,0,180,0,0,20,819
0,0,0,0.5,0,180,0,0,20,836
0,0,0,0.5,0,180,0,0,20,853
0,0,0,0.5,0,180,0,0,20,870
0,0,0,0.5,0,180,0,0,20,886
0,0,0,0.5,0,180,0,0,20,902
0,0,0,0.5,0,180,0,0,20,919
0,0,0,0.5,0,180,0,0,20,936
0,0,0,0.5,0,180,0,0,20,952
0,0,0,0.5,0,180,0,0,20,969
0,3,0,0.5,0.000405,180,0,0,20,986
1,9,0,0.5,0.00162,180,0,0,20,1003
1,4,0,0.5,0.00216,180,0,0,20,1019
1,5,0,0.5,0.002835,180,0,0,20,1037
1,7,0,0.5,0.00378,180,0,0,20,1053
1,4,0,0.5,0.00432,180,0,0,20,1069
1,5,0,0.5,0.004995,180,0,0,20,1087
1,4,0,0.5,0.005535,180,0,0,20,1103
0,3,0,0.5,0.00594,180,0,0,20,1119
1,2,0,0.5,0.00621,180,0,0,20,1138
0,1,0,0.5,0.006345,180,0,0,20,1153
0,1,0,0.5,0.00648,180,0,0,20,1170
0,3,0,0.5,0.006885,180,0,0,20,1186
2,1,0,0.5,0.00702,180,0,0,20,1203
0,3,0,0.5,0.007425,180,0,0,20,1220
1,2,0,0.5,0.007695,180,0,0,20,1236
0,2,0,0.5,0.007965,180,0,0,20,1253
0,3,0,0.5,0.00837,180,0,0,20,1270
0,1,0,0.5,0.008505,180,0,0,20,1286
1,2,0,0.5,0.008775,180,0,0,20,1303
0,1,0,0.5,0.00891,180,0,0,20,1319
0,1,0,0.5,0.009045,180,0,0,20,1337
0,2,0,0.5,0.009315,180,0,0,20,1353
1,3,0,0.5,0.00972,180,0,0,20,1369
0,2,0,0.5,0.00999,180,0,0,20,1387
1,2,0,0.5,0.01026,180,0,0,20,1403
0,3,0,0.5,0.010665,180,0,0,20,1420
2,7,0,0.5,0.01161,180,0,0,20,1437
1,7,0,0.5,0.012555,180,0,0,20,1453
1,9,0,0.5,0.01377,180,0,0,20,1469
1,18,0,0.5,0.0162,180,0,0,20,1486
3,16,0,0.5,0.01836,180,0,0,20,1503
1,33,0,0.5,0.022815,180,0,0,20,1520
0,27,0,0.5,0.02646,180,0,0,20,1536
0,26,0,0.5,0.02997,180,0,0,20,1553
-1,36,0,0.5,0.03483,180,0,0,20,1570
0,24,0,0.5,0.03807,180,0,0,20,1587
-1,33,0,0.5,0.042525,180,0,0,20,1603
-2,20,0,0.5,0.045225,180,0,0,20,1619
-2,16,0,0.5,0.047385,180,0,0,20,1636
-2,23,0,0.5,0.05049,180,0,0,20,1653
0,12,0,0.5,0.05211,180,0,0,20,1669
0,10,0,0.5,0.05346,180,0,0,20,1686
0,12,0,0.5,0.05508,180,0,0,20,1703
0,8,0,0.5,0.05616,180,0,0,20,1719
1,11,0,0.5,0.057645,180,0,0,20,1736
1,10,0,0.5,0.058995,180,0,0,20,1753
0,9,0,0.5,0.06021,180,0,0,20,1770
0,11,0,0.5,0.061695,180,0,0,20,1786
0,4,0,0.5,0.062235,180,0,0,20,1803
0,4,0,0.5,0.062775,180,0,0,20,1820
0,2,0,0.5,0.063045,180,0,0,20,1836
0,1,0,0.5,0.06318,180,0,0,20,1853
0,1,0,0.5,0.063315,180,0,0,20,1869
0,0,0,0.5,0.063315,180,0,0,20,1885
0,0,0,0.5,0.063315,180,0,0,20,1902
0,0,0,0.5,0.063315,180,0,0,20,1919
0,0,0,0.5,0.063315,180,0,0,20,1936
0,0,0,0.5,0.063315,180,0,0,20,1952
0,0,0,0.5,0.063315,180,0,0,20,1969
0,0,0,0.5,0.063315,180,0,0,20,1986
0,-1,0,0.5,0.06318,180,0,0,20,2003
-1,-3,0,0.5,0.062775,180,0,0,20,2019
-2,-10,0,0.5,0.061425,180,0,0,20,2036
-2,-9,0,0.5,0.06021,180,0,0,20,2053
0,-7,0,0.5,0.059265,180,0,0,20,2069
-1,-10,0,0.5,0.057915,180,0,0,20,2086
-1,-5,0,0.5,0.05724,180,0,0,20,2103
0,-6,0,0.5,0.05643,180,0,0,20,2120
0,-3,0,0.5,0.056025,180,0,0,20,2136
0,-3,0,0.5,0.05562,180,0,0,20,2153
0,-2,0,0.5,0.05535,180,0,0,20,2169
0,-1,0,0.5,0.055215,180,0,0,20,2188
0,0,0,0.5,0.055215,180,0,0,20,2203
0,0,0,0.5,0.055215,180,0,0,20,2219
0,0,0,0.5,0.055215,180,0,0,20,2236
0,0,0,0.5,0.055215,180,0,0,20,2252
0,0,0,0.5,0.055215,180,0,0,20,2269
0,-1,0,0.5,0.05508,180,0,0,20,2286
