FrameCounts,blue_mean
1,25.522692187500002
2,41.895809375
3,59.282682812500006
4,68.901634375
5,68.79029687500001
6,66.6025
7,66.43878125
8,71.7534453125
9,71.8015765625
10,74.0040828125
11,73.95028437500001
12,74.58986875000001
13,74.57491875000001
14,78.4864078125
15,77.7744234375
16,78.48160468750001
17,78.6726359375
18,78.6959046875
19,78.125603125
20,76.794178125
21,76.64374375
22,76.29645156250001
23,76.0648
24,76.221925
25,76.28515312500001
26,76.529075
27,76.5685703125
28,76.0176296875
29,76.09493437500001
30,76.3411
31,76.65487031250001
32,76.9287453125
33,76.919059375
34,76.885278125
35,76.9359390625
36,76.888421875
37,77.3233046875
38,77.2980296875
39,77.21251875
40,77.147453125
41,77.1554734375
42,78.5167296875
43,78.6410328125
44,78.7156546875
45,78.87205625
46,78.72208125
47,78.68768750000001
48,78.7619875
49,78.8840375
50,78.91172812500001
51,78.900790625
52,79.03028125
53,78.7520109375
54,78.57102031250001
55,78.48591875000001
56,78.3578703125
57,78.41171875
58,78.51125625
59,78.520234375
60,78.66167187500001
61,78.798421875
62,80.3288296875
63,80.42797812500001
64,81.5372109375
65,81.4520640625
66,81.4080484375
67,81.48836250000001
68,81.0580171875
69,80.5567953125
70,80.34905937500001
71,80.4116265625
72,80.17796406250001
73,80.21477812500001
74,80.39349531250001
75,80.4478546875
76,79.8918015625
77,79.9963703125
78,80.08270312500001
79,80.1290484375
80,80.04407656250001
81,80.1449765625
82,80.224265625
83,80.33111875
84,80.31853281250001
85,80.26454375
86,80.20900312500001
87,80.2378625
88,80.490953125
89,80.890290625
90,80.9374796875
91,81.10214218750001
92,81.34993125
93,81.0201625
94,81.25764062500001
95,81.10283906250001
96,81.1932140625
97,81.1722125
98,81.2105296875
99,81.391040625
100,84.7867171875
101,87.717628125
102,88.40805312500001
103,88.94094375
104,78.77318906250001
105,78.1479453125
106,67.9553171875
107,64.95981718750001
108,62.8075890625
109,62.872957812500005
110,63.19114375
111,63.7285875
112,61.690857812500006
113,60.636175
114,65.96214375000001
115,71.4287375
116,73.394675
117,73.3956421875
118,74.48068437500001
119,73.319634375
120,75.96546875
121,75.8289
122,78.724475
123,79.58512031250001
124,79.4822890625
125,79.474528125
126,79.46058437500001
127,79.4474234375
128,79.27523125
129,79.085775
130,79.0352828125
131,79.027009375
132,79.07898125
133,79.0875046875
134,79.01489375
135,79.058803125
136,79.0979234375
137,79.2160515625
138,79.09398125
139,78.9729359375
140,78.94868125
141,79.286175
142,79.194296875
143,79.212259375
144,79.2531265625
145,79.036215625
146,78.91505000000001
147,79.211315625
148,79.256296875
149,79.18600625
150,78.894115625
151,78.7130578125
152,78.688153125
153,79.07923281250001
154,79.257534375
155,79.287903125
156,79.3782453125
157,79.37865781250001
158,79.3133296875
159,79.281571875
160,79.2797625
161,79.406228125
162,79.70277187500001
163,79.6821953125
164,79.55835937500001
165,79.4173421875
166,79.34664843750001
167,79.5110234375
168,79.5002765625
169,79.7000765625
170,79.8343234375
171,79.82597187500001
172,79.80693281250001
173,79.57227031250001
174,79.6657859375
175,79.4178921875
176,79.5011828125
177,79.5318390625
178,79.587321875
179,79.72745937500001
180,86.8747484375
181,87.7518046875
182,87.69745
183,88.042359375
184,87.452809375
185,87.1594
186,86.9800390625
187,86.84137968750001
188,86.1775796875
189,86.35221875
190,86.3438015625
191,86.3636765625
192,86.64615937500001
193,86.572265625
194,86.849146875
195,86.64808437500001
196,86.70728125000001
197,86.22250000000001
198,86.5132703125
199,86.7121890625
200,86.6501890625
201,86.53815468750001
202,86.6777015625
203,86.4708921875
204,87.46784062500001
205,87.69726406250001
206,87.6048875
207,87.6029453125
208,87.8330359375
209,87.6194109375
210,87.8058734375
211,87.915609375
212,88.09271562500001
213,87.9863515625
214,87.9039046875
215,88.0733015625
216,88.0902734375
217,87.80440625
218,87.386215625
219,87.31502656250001
220,87.4893171875
221,87.71677968750001
222,87.441640625
223,87.4453484375
224,87.4919296875
225,87.513646875
226,87.48374375
227,87.72413593750001
228,87.9851
229,88.0538875
230,88.4077875
231,88.540740625
232,88.68203125000001
233,88.629840625
234,88.10539375
235,88.20513281250001
236,88.1182515625
237,87.88573281250001
238,88.0875140625
239,88.23098125
240,88.319771875
241,88.44476875000001
242,88.6227875
243,87.79324062500001
244,87.56866875
245,87.443228125
246,87.32416093750001
247,87.309165625
248,87.28179531250001
249,87.384521875
250,87.5546203125
251,87.677371875
252,85.65400000000001
253,85.13946406250001
254,84.9876265625
255,85.2925546875
256,85.22085625
257,85.21561406250001
258,85.925225
259,86.34276406250001
260,86.641259375
261,86.710059375
262,86.63924531250001
263,86.286709375
264,86.2133421875
265,85.97835625
266,85.8371109375
267,85.80362343750001
268,86.149346875
269,86.40418906250001
270,86.70393750000001
271,86.74977343750001
272,86.91907656250001
273,87.0488375
274,87.0217296875
275,86.6820515625
276,86.59723281250001
277,86.59589062500001
278,86.5168421875
279,86.64940468750001
280,86.9864921875
281,87.282675
282,87.1625375
283,86.7856125
284,85.76768750000001
285,85.645646875
286,85.75877187500001
287,85.5642921875
288,85.402984375
289,85.1861046875
290,85.0782609375
291,85.00235781250001
292,84.9692640625
293,85.50722656250001
294,85.94208125
295,86.14064375000001
296,86.2366609375
297,86.13139687500001
298,86.52841562500001
299,86.440234375
300,86.3902171875
301,86.4621625
302,86.572125
303,86.32312812500001
304,86.064090625
305,85.90628125
306,85.912028125
307,85.72607500000001
308,85.96579375
309,85.97984375
310,86.0027546875
311,85.868496875
312,85.7927671875
313,85.8168703125
314,85.84989531250001
315,85.9588078125
316,86.1051171875
317,86.247015625
318,86.24307031250001
319,86.1427125
320,86.018984375
321,85.83026875
322,85.7216375
323,85.83016093750001
324,85.8290734375
325,85.88804375000001
326,85.85656250000001
327,86.0249921875
328,85.734434375
329,85.51390781250001
330,85.59079375
331,85.59148437500001
332,85.73688125000001
333,86.5160203125
334,85.85289375
335,86.38794531250001
336,86.3670828125
337,86.24884375
338,85.92977656250001
339,85.8624734375
340,85.769684375
341,85.7345296875
342,85.7004609375
343,85.5213921875
344,85.4487015625
345,85.2805484375
346,87.233175
347,87.31701875
348,86.2970359375
349,85.66559375
350,85.466921875
351,85.4004109375
352,85.4498671875
353,83.03096562500001
